Prediction,Option0,Option1,Option2,Option3,Option4
0,9.912444114685059,-0.6190367937088013,8.767511367797852,0.31978291273117065,2.106041193008423
4,1.3654383420944214,1.513851284980774,6.515646457672119,4.324502468109131,13.635003089904785
4,12.521449089050293,12.526214599609375,5.647313117980957,-0.29761171340942383,14.067693710327148
4,12.131394386291504,13.804862976074219,6.376009941101074,10.067760467529297,18.697982788085938
2,18.529373168945312,12.787779808044434,21.80242919921875,7.020325660705566,11.881123542785645
2,9.209162712097168,8.41031265258789,12.972962379455566,11.91224193572998,6.83161735534668
2,7.636067867279053,6.703693389892578,14.726524353027344,13.118654251098633,-3.4862256050109863
2,11.483419418334961,-0.009356960654258728,12.773709297180176,2.2628862857818604,8.364847183227539
3,7.017238140106201,10.015978813171387,8.416248321533203,12.634102821350098,1.745775580406189
3,3.9685606956481934,1.4456679821014404,-3.548152446746826,10.821422576904297,4.846129894256592
3,6.674597263336182,-3.056091547012329,8.254685401916504,15.074701309204102,14.390933990478516
0,15.101028442382812,6.2993974685668945,5.0670952796936035,3.597121477127075,6.741631507873535
1,5.129324913024902,18.5776309967041,1.3477030992507935,5.3264923095703125,8.031731605529785
4,-1.0861408710479736,4.707924842834473,8.925909042358398,5.8504862785339355,26.83006477355957
3,-0.08767982572317123,10.242471694946289,6.203904151916504,13.989538192749023,8.518731117248535
4,3.185750722885132,8.174671173095703,5.361507415771484,9.634989738464355,13.183236122131348
4,-0.3781188428401947,5.693841934204102,8.572829246520996,5.586368083953857,23.681364059448242
1,5.225743293762207,9.064799308776855,3.607919931411743,6.138790607452393,8.994389533996582
3,5.818915843963623,9.431941032409668,3.2971787452697754,9.66447639465332,3.2074742317199707
2,5.399105072021484,2.7190842628479004,20.558387756347656,2.4937186241149902,12.912019729614258
1,-2.0602407455444336,22.81248664855957,3.2431445121765137,1.1177772283554077,12.569801330566406
2,4.731508731842041,6.185606956481934,14.033011436462402,4.963793754577637,12.283193588256836
4,6.679016590118408,1.4475122690200806,6.804080963134766,3.0817513465881348,8.582009315490723
1,5.2087082862854,19.652385711669922,13.047564506530762,4.1721601486206055,2.0482141971588135
3,10.335082054138184,10.318516731262207,3.322364091873169,11.23088550567627,2.5864834785461426
2,13.748747825622559,6.552493095397949,18.362337112426758,4.620816230773926,10.576537132263184
2,-3.348536968231201,8.462942123413086,20.480703353881836,3.775341749191284,6.880166053771973
3,7.1346259117126465,7.421916961669922,12.97404670715332,13.436080932617188,3.244389057159424
2,2.093339443206787,10.119916915893555,17.229896545410156,12.041455268859863,11.947072982788086
3,9.483169555664062,9.965577125549316,6.697877407073975,16.126611709594727,5.666608810424805
3,1.8387057781219482,3.094716787338257,2.1257472038269043,11.89750862121582,4.765596866607666
2,4.977453231811523,11.067523956298828,17.74538803100586,8.059806823730469,5.085374355316162
1,2.597930669784546,21.216928482055664,2.3764166831970215,2.3039393424987793,0.33213895559310913
3,3.7473814487457275,8.996825218200684,2.743457555770874,16.441072463989258,6.646876811981201
3,12.68878173828125,5.280439376831055,8.988149642944336,16.864145278930664,0.7739042043685913
1,0.6128082871437073,15.999578475952148,6.125454425811768,7.403955459594727,1.9676971435546875
1,3.1520791053771973,14.940847396850586,5.990792751312256,1.746546745300293,4.100131988525391
0,14.508044242858887,3.481306791305542,2.217038631439209,4.560762405395508,1.8648276329040527
2,14.658708572387695,9.037025451660156,19.884435653686523,7.098735332489014,11.649073600769043
4,3.997358798980713,10.054902076721191,1.154968023300171,13.167973518371582,18.841289520263672
2,0.6408506631851196,2.205670118331909,23.79202651977539,0.20008915662765503,4.259618759155273
0,21.072389602661133,7.8104424476623535,3.6748456954956055,10.088244438171387,9.99781322479248
1,12.69217300415039,13.355428695678711,6.061642169952393,6.814663410186768,-1.72977614402771
2,-1.5386605262756348,9.940637588500977,22.87729835510254,7.69221305847168,2.938751220703125
4,-4.011075019836426,12.132892608642578,3.912362575531006,0.37838444113731384,15.579957962036133
4,7.6658735275268555,-0.21806232631206512,6.572856903076172,-2.15765380859375,10.643460273742676
1,7.135040283203125,22.49872589111328,20.503686904907227,11.610998153686523,15.332980155944824
1,3.5912511348724365,17.11226463317871,7.243773460388184,7.484776496887207,2.668970823287964
