Prediction,Option0,Option1,Option2,Option3,Option4
2,9.48420238494873,9.174053192138672,11.742018699645996,6.598799705505371,3.145789861679077
4,6.162953853607178,4.492255687713623,10.158371925354004,-0.6325451731681824,21.453004837036133
4,13.365156173706055,14.64172649383545,3.8708384037017822,1.2909183502197266,22.001094818115234
1,16.40768814086914,19.000417709350586,14.243073463439941,7.426692485809326,17.69521713256836
0,24.00283432006836,14.395207405090332,23.29948616027832,3.9372682571411133,12.893319129943848
2,13.71353530883789,6.932111740112305,19.238243103027344,16.803524017333984,5.583006381988525
2,15.369017601013184,16.18134880065918,22.314224243164062,18.604095458984375,-3.8790555000305176
0,17.21978759765625,8.37210464477539,9.797867774963379,8.49810791015625,10.523215293884277
3,12.006108283996582,14.805466651916504,13.667171478271484,23.169944763183594,9.214835166931152
3,5.067655086517334,10.307137489318848,7.751528263092041,18.019445419311523,8.161285400390625
4,6.722153186798096,-3.9283690452575684,10.369963645935059,15.086236000061035,18.0386905670166
0,20.633283615112305,14.887459754943848,6.956167697906494,10.65284538269043,17.701948165893555
1,6.781824588775635,29.189346313476562,8.208441734313965,12.757550239562988,13.852768898010254
4,1.9754221439361572,9.254472732543945,12.337239265441895,5.782740592956543,30.339818954467773
1,4.136763572692871,17.596721649169922,5.352355480194092,16.29247283935547,9.932629585266113
4,9.446981430053711,11.227705955505371,5.460843086242676,13.299628257751465,16.32105255126953
4,8.335980415344238,9.705400466918945,12.32382583618164,11.684879302978516,16.82231903076172
1,8.81406307220459,14.065903663635254,0.07189413160085678,8.81406307220459,12.981966972351074
1,11.410956382751465,21.055818557739258,5.795600414276123,5.103283405303955,4.026979923248291
2,8.732927322387695,7.353074073791504,22.071855545043945,4.742528915405273,10.22332763671875
1,1.344287395477295,23.167949676513672,-0.684083878993988,0.8776081204414368,14.736360549926758
4,6.8368024826049805,11.83327865600586,8.849231719970703,10.271286964416504,25.404695510864258
1,11.504657745361328,12.822081565856934,10.758737564086914,2.507012128829956,12.263830184936523
1,10.549578666687012,20.7973575592041,12.858342170715332,7.883875370025635,8.058465003967285
1,10.102845191955566,18.66790199279785,6.264786720275879,6.892542839050293,9.134866714477539
2,15.401599884033203,6.185213565826416,24.928905487060547,4.279361248016357,9.489521026611328
2,2.1873345375061035,8.308317184448242,15.646512031555176,9.06756591796875,3.00226092338562
3,11.492273330688477,3.5925116539001465,12.519996643066406,25.302310943603516,2.454139471054077
2,5.684825420379639,14.67333698272705,24.340551376342773,12.689448356628418,13.335358619689941
3,16.34980583190918,12.873802185058594,15.433847427368164,24.520198822021484,13.421611785888672
3,6.186621189117432,11.409554481506348,4.177101135253906,19.416797637939453,4.214710712432861
2,7.895013332366943,11.173347473144531,23.527515411376953,10.478292465209961,7.551089286804199
1,2.7065775394439697,22.23998260498047,6.650398254394531,6.375153541564941,6.017089366912842
3,7.5557122230529785,13.60912036895752,9.144253730773926,23.83917236328125,7.696928977966309
3,12.440731048583984,11.361725807189941,13.159273147583008,21.850351333618164,-3.8549039363861084
