Prediction,Option0,Option1,Option2,Option3,Option4
3,-58.54336929321289,-56.9711799621582,-58.538848876953125,-52.246212005615234,-63.907989501953125
3,-62.65040588378906,-67.400634765625,-71.39261627197266,-61.94844436645508,-70.8096923828125
1,-46.28289794921875,-39.5332145690918,-44.37696838378906,-41.21371841430664,-48.14729690551758
0,-61.51476287841797,-62.361900329589844,-68.70519256591797,-65.10824584960938,-64.19573211669922
2,-76.70252227783203,-78.95686340332031,-65.30626678466797,-77.3086929321289,-67.49972534179688
2,-88.47669219970703,-104.44409942626953,-85.29486846923828,-106.41956329345703,-94.9788818359375
3,-38.262977600097656,-39.41217041015625,-38.49040222167969,-30.77052879333496,-41.4721794128418
1,-45.11793899536133,-41.47056579589844,-44.91986846923828,-43.94806671142578,-51.5032958984375
2,-87.80667877197266,-87.43523406982422,-67.33721923828125,-71.25506591796875,-85.86160278320312
3,-65.2926025390625,-70.02366638183594,-56.973899841308594,-53.93409729003906,-57.58761978149414
3,-65.91776275634766,-66.17217254638672,-72.4476089477539,-56.4085578918457,-66.59620666503906
3,-68.6744613647461,-74.38204193115234,-76.15792083740234,-60.66936111450195,-72.47686004638672
1,-68.72053527832031,-65.1946792602539,-77.68395233154297,-65.8312759399414,-72.05891418457031
0,-67.99723815917969,-70.80656433105469,-72.91349029541016,-76.57662200927734,-71.7598648071289
2,-104.75015258789062,-110.1445541381836,-100.7535171508789,-111.54512023925781,-112.38125610351562
0,-34.65125274658203,-39.00749969482422,-48.584381103515625,-43.779029846191406,-46.82109832763672
2,-62.87935256958008,-81.55199432373047,-61.1214599609375,-75.87049865722656,-75.41764831542969
3,-86.34102630615234,-82.52880096435547,-82.2217025756836,-69.06703186035156,-81.68795013427734
0,-69.13713073730469,-70.91487884521484,-71.53636169433594,-86.92547607421875,-75.8126220703125
3,-76.47457122802734,-76.7601089477539,-76.63031005859375,-62.98726272583008,-74.31986999511719
2,-69.23188781738281,-59.982975006103516,-55.65385437011719,-72.19918823242188,-68.77381134033203
2,-114.27456665039062,-114.76199340820312,-105.96796417236328,-123.58631896972656,-127.1053466796875
4,-74.28984069824219,-79.42713928222656,-85.12982940673828,-76.4721450805664,-72.23291015625
3,-102.46903991699219,-97.61656188964844,-104.2699966430664,-92.00712585449219,-108.57069396972656
0,-61.247928619384766,-69.41666412353516,-78.3494873046875,-70.31780242919922,-70.31951904296875
2,-82.14859008789062,-80.97614288330078,-78.22051239013672,-83.58379364013672,-84.66197967529297
4,-61.82648849487305,-63.744197845458984,-65.39188385009766,-64.42241668701172,-59.83997344970703
0,-76.4732666015625,-99.94115447998047,-96.85054779052734,-86.17436218261719,-96.41171264648438
4,-104.80522918701172,-113.25639343261719,-120.03068542480469,-115.07603454589844,-99.96998596191406
3,-61.68619155883789,-60.74284362792969,-73.43537902832031,-54.31427764892578,-75.52082824707031
0,-67.4581527709961,-76.43083190917969,-76.84625244140625,-82.07713317871094,-82.68678283691406
3,-53.77803039550781,-57.80189514160156,-63.038021087646484,-46.829158782958984,-62.70693588256836
0,-81.02053833007812,-93.156494140625,-99.4654769897461,-90.3740234375,-92.28752899169922
2,-71.06315612792969,-82.67269897460938,-67.78211975097656,-86.4905776977539,-81.52263641357422
0,-81.23820495605469,-84.8025894165039,-82.82424926757812,-92.93561553955078,-87.45045471191406
2,-63.16877746582031,-72.16477966308594,-56.95785140991211,-71.00396728515625,-69.7847671508789
0,-47.12968826293945,-55.61155319213867,-49.32141876220703,-49.593563079833984,-55.35237503051758
0,-138.92800903320312,-163.48324584960938,-152.7123260498047,-159.916259765625,-165.15545654296875
1,-60.15606689453125,-43.84969711303711,-55.295650482177734,-53.952274322509766,-54.043365478515625
3,-66.1056137084961,-81.7596206665039,-67.05431365966797,-60.450984954833984,-80.80225372314453
1,-63.06813049316406,-60.80128479003906,-65.17430114746094,-66.42955780029297,-61.20183563232422
4,-73.94461822509766,-76.47378540039062,-77.91729736328125,-66.58570861816406,-55.50300216674805
3,-87.28079986572266,-79.21212768554688,-81.62771606445312,-77.36740112304688,-89.43798065185547
0,-48.29170608520508,-61.59601974487305,-60.59190368652344,-52.91208267211914,-54.378353118896484
2,-75.21664428710938,-80.1089096069336,-63.21928405761719,-78.37955474853516,-82.02996063232422
2,-56.92047882080078,-69.86490631103516,-42.549293518066406,-62.54374694824219,-63.0936279296875
1,-88.37944793701172,-82.8896484375,-83.51606750488281,-86.67387390136719,-86.11634826660156
1,-74.97234344482422,-61.3222541809082,-75.79875946044922,-69.03400421142578,-76.50236511230469
0,-58.167476654052734,-65.64391326904297,-62.53923797607422,-62.513179779052734,-63.20863342285156
0,-51.21424865722656,-55.430931091308594,-58.94224166870117,-58.62114715576172,-57.31999588012695
0,-78.09759521484375,-100.01007080078125,-90.91398620605469,-87.1788101196289,-101.88203430175781
2,-90.53189086914062,-87.33320617675781,-77.7679214477539,-79.26246643066406,-82.50028991699219
1,-83.00518035888672,-61.14391326904297,-87.71588134765625,-84.29045867919922,-81.90093231201172
2,-94.2835922241211,-95.08724212646484,-80.86578369140625,-95.36531066894531,-106.35382843017578
1,-85.63098907470703,-74.41610717773438,-90.637451171875,-92.42744445800781,-89.22860717773438
3,-101.89112091064453,-100.99727630615234,-101.5933609008789,-89.1156005859375,-112.59762573242188
1,-54.591243743896484,-52.861080169677734,-56.157508850097656,-65.02803802490234,-55.777000427246094
4,-71.91915130615234,-72.74942016601562,-74.35264587402344,-63.55647659301758,-62.32439422607422
3,-85.74947357177734,-81.98666381835938,-73.41249084472656,-67.7969741821289,-84.2787857055664
0,-56.1500244140625,-62.6616325378418,-60.77012252807617,-65.48764038085938,-56.329864501953125
4,-96.97840881347656,-93.76496124267578,-87.71367645263672,-96.65677642822266,-84.5000991821289
2,-44.288673400878906,-39.86050033569336,-37.580631256103516,-44.39682388305664,-40.933353424072266
2,-101.40801239013672,-117.4494857788086,-99.71563720703125,-112.19551086425781,-106.88866424560547
